AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6743","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A193","PA","428000","581420","A189","Spring Park, Bedlington","2.60","1.62000000000000000","48","46","3193","50","484","63","2","10","2","9","8","94","3867"
"2000","6744","Estimated","Estimated using previous year's AADF on this link","North East","North Tyneside","A193","PA","436000","568860","A187","A1058","2.90","1.80000000000000000","142","52","6593","192","960","131","4","2","6","3","6","152","7949"
"2000","6745","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A193","PA","427000","564670","A193/A167(M)","A193","2.40","1.49000000000000000","136","33","5523","1037","861","157","4","3","8","1","0","173","7627"
"2000","6746","Estimated","Estimated using previous year's AADF on this link","North East","South Tyneside","A194","PA","434000","563700","A19(T)","A1300",".50",".31000000000000000","79","164","33515","499","4442","990","138","139","101","217","252","1837","40457"
"2000","7345","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A695","PA","420120","563400","A695","A1114",".50",".31000000000000000","23","96","30487","407","4674","1074","209","297","80","192","235","2087","37751"
"2000","7455","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A688","PA","424239","532242","A689","Whitehouse Rd roundabout","5.20","3.23000000000000000","6","45","11468","109","1582","441","57","46","28","56","34","662","13866"
"2000","7456","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A689","PA","369098","550000","LA Boundary","LA Boundary","14.50","9.01000000000000000","6","11","694","8","143","29","2","6","2","5","2","46","902"
"2000","7457","Counted","Manual count","North East","Durham","A689","PA","420000","530850","A690","B6284 West Rd","8.60","5.34000000000000000","6","53","9742","99","1196","221","53","88","13","49","31","455","11545"
"2000","7458","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A689","PA","435000","528300","A177","A177","1.60",".99000000000000000","2","46","12712","56","2374","244","147","149","200","299","206","1245","16433"
"2000","7459","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A690","PA","426000","541700","B6302","A167",".70",".43000000000000000","80","194","18685","445","1809","292","119","87","70","95","57","720","21853"
"2000","7460","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A690","PA","430000","544380","A181","A1(M)","3.00","1.86000000000000000","2","87","19970","141","2520","583","88","90","91","204","144","1200","23918"
"2000","7461","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A183","PA","439600","557220","A1231","A1018",".60",".37000000000000000","128","139","25919","286","2700","580","65","68","31","73","23","840","29884"
"2000","7463","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A692","PA","420000","557900","LA Boundary","A6076","3.30","2.05000000000000000","7","99","6740","183","952","197","24","15","18","25","36","315","8289"
"2000","7464","Counted","Manual count","North East","Gateshead","A694","PA","417600","560000","LA Boundary","B6317","8.20","5.10000000000000000","31","74","11876","251","1104","292","48","108","11","46","43","548","13853"
"2000","7465","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A695","PA","419940","563615","LA Boundary","A69 Derwenthaugh Rd",".30",".19000000000000000","226","131","29715","426","4146","912","174","305","78","119","127","1715","36133"
